phone,meterNumber,subscriberNumber,police,name,address,tariffCode,category,grouping,center,zone,sector,oldIndex
91000001,MT-GAM-0001,ABN-GAM-0001,PL-GAM-0001,Client Gamkallé Nord 01,"Niamey, Gamkallé, Secteur Nord, Rue 01",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1010
91000002,MT-GAM-0002,ABN-GAM-0002,PL-GAM-0002,Client Gamkallé Nord 02,"Niamey, Gamkallé, Secteur Nord, Rue 02",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1020
91000003,MT-GAM-0003,ABN-GAM-0003,PL-GAM-0003,Client Gamkallé Nord 03,"Niamey, Gamkallé, Secteur Nord, Rue 03",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1030
91000004,MT-GAM-0004,ABN-GAM-0004,PL-GAM-0004,Client Gamkallé Nord 04,"Niamey, Gamkallé, Secteur Nord, Rue 04",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1040
91000005,MT-GAM-0005,ABN-GAM-0005,PL-GAM-0005,Client Gamkallé Nord 05,"Niamey, Gamkallé, Secteur Nord, Rue 05",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1050
91000006,MT-GAM-0006,ABN-GAM-0006,PL-GAM-0006,Client Gamkallé Nord 06,"Niamey, Gamkallé, Secteur Nord, Rue 06",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1060
91000007,MT-GAM-0007,ABN-GAM-0007,PL-GAM-0007,Client Gamkallé Nord 07,"Niamey, Gamkallé, Secteur Nord, Rue 07",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1070
91000008,MT-GAM-0008,ABN-GAM-0008,PL-GAM-0008,Client Gamkallé Nord 08,"Niamey, Gamkallé, Secteur Nord, Rue 08",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1080
91000009,MT-GAM-0009,ABN-GAM-0009,PL-GAM-0009,Client Gamkallé Nord 09,"Niamey, Gamkallé, Secteur Nord, Rue 09",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1090
91000010,MT-GAM-0010,ABN-GAM-0010,PL-GAM-0010,Client Gamkallé Nord 10,"Niamey, Gamkallé, Secteur Nord, Rue 10",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1100
91000011,MT-GAM-0011,ABN-GAM-0011,PL-GAM-0011,Client Gamkallé Nord 11,"Niamey, Gamkallé, Secteur Nord, Rue 11",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1110
91000012,MT-GAM-0012,ABN-GAM-0012,PL-GAM-0012,Client Gamkallé Nord 12,"Niamey, Gamkallé, Secteur Nord, Rue 12",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1120
91000013,MT-GAM-0013,ABN-GAM-0013,PL-GAM-0013,Client Gamkallé Nord 13,"Niamey, Gamkallé, Secteur Nord, Rue 13",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1130
91000014,MT-GAM-0014,ABN-GAM-0014,PL-GAM-0014,Client Gamkallé Nord 14,"Niamey, Gamkallé, Secteur Nord, Rue 14",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1140
91000015,MT-GAM-0015,ABN-GAM-0015,PL-GAM-0015,Client Gamkallé Nord 15,"Niamey, Gamkallé, Secteur Nord, Rue 15",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1150
91000016,MT-GAM-0016,ABN-GAM-0016,PL-GAM-0016,Client Gamkallé Nord 16,"Niamey, Gamkallé, Secteur Nord, Rue 16",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1160
91000017,MT-GAM-0017,ABN-GAM-0017,PL-GAM-0017,Client Gamkallé Nord 17,"Niamey, Gamkallé, Secteur Nord, Rue 17",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1170
91000018,MT-GAM-0018,ABN-GAM-0018,PL-GAM-0018,Client Gamkallé Nord 18,"Niamey, Gamkallé, Secteur Nord, Rue 18",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1180
91000019,MT-GAM-0019,ABN-GAM-0019,PL-GAM-0019,Client Gamkallé Nord 19,"Niamey, Gamkallé, Secteur Nord, Rue 19",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1190
91000020,MT-GAM-0020,ABN-GAM-0020,PL-GAM-0020,Client Gamkallé Nord 20,"Niamey, Gamkallé, Secteur Nord, Rue 20",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1200
91000021,MT-GAM-0021,ABN-GAM-0021,PL-GAM-0021,Client Gamkallé Nord 21,"Niamey, Gamkallé, Secteur Nord, Rue 21",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1210
91000022,MT-GAM-0022,ABN-GAM-0022,PL-GAM-0022,Client Gamkallé Nord 22,"Niamey, Gamkallé, Secteur Nord, Rue 22",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1220
91000023,MT-GAM-0023,ABN-GAM-0023,PL-GAM-0023,Client Gamkallé Nord 23,"Niamey, Gamkallé, Secteur Nord, Rue 23",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1230
91000024,MT-GAM-0024,ABN-GAM-0024,PL-GAM-0024,Client Gamkallé Nord 24,"Niamey, Gamkallé, Secteur Nord, Rue 24",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1240
91000025,MT-GAM-0025,ABN-GAM-0025,PL-GAM-0025,Client Gamkallé Nord 25,"Niamey, Gamkallé, Secteur Nord, Rue 25",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1250
91000026,MT-GAM-0026,ABN-GAM-0026,PL-GAM-0026,Client Gamkallé Nord 26,"Niamey, Gamkallé, Secteur Nord, Rue 26",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1260
91000027,MT-GAM-0027,ABN-GAM-0027,PL-GAM-0027,Client Gamkallé Nord 27,"Niamey, Gamkallé, Secteur Nord, Rue 27",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1270
91000028,MT-GAM-0028,ABN-GAM-0028,PL-GAM-0028,Client Gamkallé Nord 28,"Niamey, Gamkallé, Secteur Nord, Rue 28",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1280
91000029,MT-GAM-0029,ABN-GAM-0029,PL-GAM-0029,Client Gamkallé Nord 29,"Niamey, Gamkallé, Secteur Nord, Rue 29",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1290
91000030,MT-GAM-0030,ABN-GAM-0030,PL-GAM-0030,Client Gamkallé Nord 30,"Niamey, Gamkallé, Secteur Nord, Rue 30",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1300
91000031,MT-GAM-0031,ABN-GAM-0031,PL-GAM-0031,Client Gamkallé Nord 31,"Niamey, Gamkallé, Secteur Nord, Rue 31",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1310
91000032,MT-GAM-0032,ABN-GAM-0032,PL-GAM-0032,Client Gamkallé Nord 32,"Niamey, Gamkallé, Secteur Nord, Rue 32",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1320
91000033,MT-GAM-0033,ABN-GAM-0033,PL-GAM-0033,Client Gamkallé Nord 33,"Niamey, Gamkallé, Secteur Nord, Rue 33",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1330
91000034,MT-GAM-0034,ABN-GAM-0034,PL-GAM-0034,Client Gamkallé Nord 34,"Niamey, Gamkallé, Secteur Nord, Rue 34",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1340
91000035,MT-GAM-0035,ABN-GAM-0035,PL-GAM-0035,Client Gamkallé Nord 35,"Niamey, Gamkallé, Secteur Nord, Rue 35",T2,01,GRP-GAM,Niamey,Gamkallé,Nord,1350
91000036,MT-GAM-0036,ABN-GAM-0036,PL-GAM-0036,Client Gamkallé Nord 36,"Niamey, Gamkallé, Secteur Nord, Rue 36",T3,02,GRP-GAM,Niamey,Gamkallé,Nord,1360
91000037,MT-GAM-0037,ABN-GAM-0037,PL-GAM-0037,Client Gamkallé Nord 37,"Niamey, Gamkallé, Secteur Nord, Rue 37",T1,01,GRP-GAM,Niamey,Gamkallé,Nord,1370
91000038,MT-GAM-0038,ABN-GAM-0038,PL-GAM-0038,Client Gamkallé Nord 38,"Niamey, Gamkallé, Secteur Nord, Rue 38",T2,02,GRP-GAM,Niamey,Gamkallé,Nord,1380
91000039,MT-GAM-0039,ABN-GAM-0039,PL-GAM-0039,Client Gamkallé Nord 39,"Niamey, Gamkallé, Secteur Nord, Rue 39",T3,01,GRP-GAM,Niamey,Gamkallé,Nord,1390
91000040,MT-GAM-0040,ABN-GAM-0040,PL-GAM-0040,Client Gamkallé Nord 40,"Niamey, Gamkallé, Secteur Nord, Rue 40",T1,02,GRP-GAM,Niamey,Gamkallé,Nord,1400
91000041,MT-KOU-0001,ABN-KOU-0001,PL-KOU-0001,Client Koubia Sud 01,"Niamey, Koubia, Secteur Sud, Rue 01",T1,01,GRP-KOU,Niamey,Koubia,Sud,1410
91000042,MT-KOU-0002,ABN-KOU-0002,PL-KOU-0002,Client Koubia Sud 02,"Niamey, Koubia, Secteur Sud, Rue 02",T2,02,GRP-KOU,Niamey,Koubia,Sud,1420
