phone,meterNumber,subscriberNumber,police,name,address,tariffCode,category,grouping,center,zone,sector,oldIndex
91000001,MT-KOU-0001,ABN-KOU-0001,PL-KOU-0001,Client Koubia Nord 01,"Niamey, Koubia Nord, Rue 01",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1010
91000002,MT-KOU-0002,ABN-KOU-0002,PL-KOU-0002,Client Koubia Nord 02,"Niamey, Koubia Nord, Rue 02",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1020
91000003,MT-KOU-0003,ABN-KOU-0003,PL-KOU-0003,Client Koubia Nord 03,"Niamey, Koubia Nord, Rue 03",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1030
91000004,MT-KOU-0004,ABN-KOU-0004,PL-KOU-0004,Client Koubia Nord 04,"Niamey, Koubia Nord, Rue 04",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1040
91000005,MT-KOU-0005,ABN-KOU-0005,PL-KOU-0005,Client Koubia Nord 05,"Niamey, Koubia Nord, Rue 05",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1050
91000006,MT-KOU-0006,ABN-KOU-0006,PL-KOU-0006,Client Koubia Nord 06,"Niamey, Koubia Nord, Rue 06",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1060
91000007,MT-KOU-0007,ABN-KOU-0007,PL-KOU-0007,Client Koubia Nord 07,"Niamey, Koubia Nord, Rue 07",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1070
91000008,MT-KOU-0008,ABN-KOU-0008,PL-KOU-0008,Client Koubia Nord 08,"Niamey, Koubia Nord, Rue 08",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1080
91000009,MT-KOU-0009,ABN-KOU-0009,PL-KOU-0009,Client Koubia Nord 09,"Niamey, Koubia Nord, Rue 09",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1090
91000010,MT-KOU-0010,ABN-KOU-0010,PL-KOU-0010,Client Koubia Nord 10,"Niamey, Koubia Nord, Rue 10",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1100
91000011,MT-KOU-0011,ABN-KOU-0011,PL-KOU-0011,Client Koubia Nord 11,"Niamey, Koubia Nord, Rue 11",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1110
91000012,MT-KOU-0012,ABN-KOU-0012,PL-KOU-0012,Client Koubia Nord 12,"Niamey, Koubia Nord, Rue 12",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1120
91000013,MT-KOU-0013,ABN-KOU-0013,PL-KOU-0013,Client Koubia Nord 13,"Niamey, Koubia Nord, Rue 13",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1130
91000014,MT-KOU-0014,ABN-KOU-0014,PL-KOU-0014,Client Koubia Nord 14,"Niamey, Koubia Nord, Rue 14",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1140
91000015,MT-KOU-0015,ABN-KOU-0015,PL-KOU-0015,Client Koubia Nord 15,"Niamey, Koubia Nord, Rue 15",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1150
91000016,MT-KOU-0016,ABN-KOU-0016,PL-KOU-0016,Client Koubia Nord 16,"Niamey, Koubia Nord, Rue 16",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1160
91000017,MT-KOU-0017,ABN-KOU-0017,PL-KOU-0017,Client Koubia Nord 17,"Niamey, Koubia Nord, Rue 17",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1170
91000018,MT-KOU-0018,ABN-KOU-0018,PL-KOU-0018,Client Koubia Nord 18,"Niamey, Koubia Nord, Rue 18",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1180
91000019,MT-KOU-0019,ABN-KOU-0019,PL-KOU-0019,Client Koubia Nord 19,"Niamey, Koubia Nord, Rue 19",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1190
91000020,MT-KOU-0020,ABN-KOU-0020,PL-KOU-0020,Client Koubia Nord 20,"Niamey, Koubia Nord, Rue 20",T1,01,GRP-KOU,Niamey,Koubia,Koubia Nord,1200
