meterNumber;center;zone;sector;routeOrder;subscriberNumber;police;address
MT-GAM-0001;Niamey;Gamkallé;Nord;1;ABN-GAM-0001;PL-GAM-0001;Niamey, Gamkallé, Secteur Nord, Rue 01
MT-GAM-0002;Niamey;Gamkallé;Nord;2;ABN-GAM-0002;PL-GAM-0002;Niamey, Gamkallé, Secteur Nord, Rue 02
MT-GAM-0003;Niamey;Gamkallé;Nord;3;ABN-GAM-0003;PL-GAM-0003;Niamey, Gamkallé, Secteur Nord, Rue 03
MT-GAM-0004;Niamey;Gamkallé;Nord;4;ABN-GAM-0004;PL-GAM-0004;Niamey, Gamkallé, Secteur Nord, Rue 04
MT-GAM-0005;Niamey;Gamkallé;Nord;5;ABN-GAM-0005;PL-GAM-0005;Niamey, Gamkallé, Secteur Nord, Rue 05
MT-GAM-0006;Niamey;Gamkallé;Nord;6;ABN-GAM-0006;PL-GAM-0006;Niamey, Gamkallé, Secteur Nord, Rue 06
MT-GAM-0007;Niamey;Gamkallé;Nord;7;ABN-GAM-0007;PL-GAM-0007;Niamey, Gamkallé, Secteur Nord, Rue 07
MT-GAM-0008;Niamey;Gamkallé;Nord;8;ABN-GAM-0008;PL-GAM-0008;Niamey, Gamkallé, Secteur Nord, Rue 08
MT-GAM-0009;Niamey;Gamkallé;Nord;9;ABN-GAM-0009;PL-GAM-0009;Niamey, Gamkallé, Secteur Nord, Rue 09
MT-GAM-0010;Niamey;Gamkallé;Nord;10;ABN-GAM-0010;PL-GAM-0010;Niamey, Gamkallé, Secteur Nord, Rue 10
MT-GAM-0011;Niamey;Gamkallé;Nord;11;ABN-GAM-0011;PL-GAM-0011;Niamey, Gamkallé, Secteur Nord, Rue 11
MT-GAM-0012;Niamey;Gamkallé;Nord;12;ABN-GAM-0012;PL-GAM-0012;Niamey, Gamkallé, Secteur Nord, Rue 12
MT-GAM-0013;Niamey;Gamkallé;Nord;13;ABN-GAM-0013;PL-GAM-0013;Niamey, Gamkallé, Secteur Nord, Rue 13
MT-GAM-0014;Niamey;Gamkallé;Nord;14;ABN-GAM-0014;PL-GAM-0014;Niamey, Gamkallé, Secteur Nord, Rue 14
MT-GAM-0015;Niamey;Gamkallé;Nord;15;ABN-GAM-0015;PL-GAM-0015;Niamey, Gamkallé, Secteur Nord, Rue 15
MT-GAM-0016;Niamey;Gamkallé;Nord;16;ABN-GAM-0016;PL-GAM-0016;Niamey, Gamkallé, Secteur Nord, Rue 16
MT-GAM-0017;Niamey;Gamkallé;Nord;17;ABN-GAM-0017;PL-GAM-0017;Niamey, Gamkallé, Secteur Nord, Rue 17
MT-GAM-0018;Niamey;Gamkallé;Nord;18;ABN-GAM-0018;PL-GAM-0018;Niamey, Gamkallé, Secteur Nord, Rue 18
MT-GAM-0019;Niamey;Gamkallé;Nord;19;ABN-GAM-0019;PL-GAM-0019;Niamey, Gamkallé, Secteur Nord, Rue 19
MT-GAM-0020;Niamey;Gamkallé;Nord;20;ABN-GAM-0020;PL-GAM-0020;Niamey, Gamkallé, Secteur Nord, Rue 20
MT-GAM-0021;Niamey;Gamkallé;Nord;21;ABN-GAM-0021;PL-GAM-0021;Niamey, Gamkallé, Secteur Nord, Rue 21
MT-GAM-0022;Niamey;Gamkallé;Nord;22;ABN-GAM-0022;PL-GAM-0022;Niamey, Gamkallé, Secteur Nord, Rue 22
MT-GAM-0023;Niamey;Gamkallé;Nord;23;ABN-GAM-0023;PL-GAM-0023;Niamey, Gamkallé, Secteur Nord, Rue 23
MT-GAM-0024;Niamey;Gamkallé;Nord;24;ABN-GAM-0024;PL-GAM-0024;Niamey, Gamkallé, Secteur Nord, Rue 24
MT-GAM-0025;Niamey;Gamkallé;Nord;25;ABN-GAM-0025;PL-GAM-0025;Niamey, Gamkallé, Secteur Nord, Rue 25
MT-GAM-0026;Niamey;Gamkallé;Nord;26;ABN-GAM-0026;PL-GAM-0026;Niamey, Gamkallé, Secteur Nord, Rue 26
MT-GAM-0027;Niamey;Gamkallé;Nord;27;ABN-GAM-0027;PL-GAM-0027;Niamey, Gamkallé, Secteur Nord, Rue 27
MT-GAM-0028;Niamey;Gamkallé;Nord;28;ABN-GAM-0028;PL-GAM-0028;Niamey, Gamkallé, Secteur Nord, Rue 28
MT-GAM-0029;Niamey;Gamkallé;Nord;29;ABN-GAM-0029;PL-GAM-0029;Niamey, Gamkallé, Secteur Nord, Rue 29
MT-GAM-0030;Niamey;Gamkallé;Nord;30;ABN-GAM-0030;PL-GAM-0030;Niamey, Gamkallé, Secteur Nord, Rue 30
MT-GAM-0031;Niamey;Gamkallé;Nord;31;ABN-GAM-0031;PL-GAM-0031;Niamey, Gamkallé, Secteur Nord, Rue 31
MT-GAM-0032;Niamey;Gamkallé;Nord;32;ABN-GAM-0032;PL-GAM-0032;Niamey, Gamkallé, Secteur Nord, Rue 32
MT-GAM-0033;Niamey;Gamkallé;Nord;33;ABN-GAM-0033;PL-GAM-0033;Niamey, Gamkallé, Secteur Nord, Rue 33
MT-GAM-0034;Niamey;Gamkallé;Nord;34;ABN-GAM-0034;PL-GAM-0034;Niamey, Gamkallé, Secteur Nord, Rue 34
MT-GAM-0035;Niamey;Gamkallé;Nord;35;ABN-GAM-0035;PL-GAM-0035;Niamey, Gamkallé, Secteur Nord, Rue 35
MT-GAM-0036;Niamey;Gamkallé;Nord;36;ABN-GAM-0036;PL-GAM-0036;Niamey, Gamkallé, Secteur Nord, Rue 36
MT-GAM-0037;Niamey;Gamkallé;Nord;37;ABN-GAM-0037;PL-GAM-0037;Niamey, Gamkallé, Secteur Nord, Rue 37
MT-GAM-0038;Niamey;Gamkallé;Nord;38;ABN-GAM-0038;PL-GAM-0038;Niamey, Gamkallé, Secteur Nord, Rue 38
MT-GAM-0039;Niamey;Gamkallé;Nord;39;ABN-GAM-0039;PL-GAM-0039;Niamey, Gamkallé, Secteur Nord, Rue 39
MT-GAM-0040;Niamey;Gamkallé;Nord;40;ABN-GAM-0040;PL-GAM-0040;Niamey, Gamkallé, Secteur Nord, Rue 40
MT-KOU-0001;Niamey;Koubia;Sud;1;ABN-KOU-0001;PL-KOU-0001;Niamey, Koubia, Secteur Sud, Rue 01
MT-KOU-0002;Niamey;Koubia;Sud;2;ABN-KOU-0002;PL-KOU-0002;Niamey, Koubia, Secteur Sud, Rue 02
MT-KOU-0003;Niamey;Koubia;Sud;3;ABN-KOU-0003;PL-KOU-0003;Niamey, Koubia, Secteur Sud, Rue 03
MT-KOU-0004;Niamey;Koubia;Sud;4;ABN-KOU-0004;PL-KOU-0004;Niamey, Koubia, Secteur Sud, Rue 04
MT-KOU-0005;Niamey;Koubia;Sud;5;ABN-KOU-0005;PL-KOU-0005;Niamey, Koubia, Secteur Sud, Rue 05
MT-KOU-0006;Niamey;Koubia;Sud;6;ABN-KOU-0006;PL-KOU-0006;Niamey, Koubia, Secteur Sud, Rue 06
MT-KOU-0007;Niamey;Koubia;Sud;7;ABN-KOU-0007;PL-KOU-0007;Niamey, Koubia, Secteur Sud, Rue 07
MT-KOU-0008;Niamey;Koubia;Sud;8;ABN-KOU-0008;PL-KOU-0008;Niamey, Koubia, Secteur Sud, Rue 08
MT-KOU-0009;Niamey;Koubia;Sud;9;ABN-KOU-0009;PL-KOU-0009;Niamey, Koubia, Secteur Sud, Rue 09
MT-KOU-0010;Niamey;Koubia;Sud;10;ABN-KOU-0010;PL-KOU-0010;Niamey, Koubia, Secteur Sud, Rue 10
MT-KOU-0011;Niamey;Koubia;Sud;11;ABN-KOU-0011;PL-KOU-0011;Niamey, Koubia, Secteur Sud, Rue 11
MT-KOU-0012;Niamey;Koubia;Sud;12;ABN-KOU-0012;PL-KOU-0012;Niamey, Koubia, Secteur Sud, Rue 12
MT-KOU-0013;Niamey;Koubia;Sud;13;ABN-KOU-0013;PL-KOU-0013;Niamey, Koubia, Secteur Sud, Rue 13
MT-KOU-0014;Niamey;Koubia;Sud;14;ABN-KOU-0014;PL-KOU-0014;Niamey, Koubia, Secteur Sud, Rue 14
MT-KOU-0015;Niamey;Koubia;Sud;15;ABN-KOU-0015;PL-KOU-0015;Niamey, Koubia, Secteur Sud, Rue 15
MT-KOU-0016;Niamey;Koubia;Sud;16;ABN-KOU-0016;PL-KOU-0016;Niamey, Koubia, Secteur Sud, Rue 16
MT-KOU-0017;Niamey;Koubia;Sud;17;ABN-KOU-0017;PL-KOU-0017;Niamey, Koubia, Secteur Sud, Rue 17
MT-KOU-0018;Niamey;Koubia;Sud;18;ABN-KOU-0018;PL-KOU-0018;Niamey, Koubia, Secteur Sud, Rue 18
MT-KOU-0019;Niamey;Koubia;Sud;19;ABN-KOU-0019;PL-KOU-0019;Niamey, Koubia, Secteur Sud, Rue 19
MT-KOU-0020;Niamey;Koubia;Sud;20;ABN-KOU-0020;PL-KOU-0020;Niamey, Koubia, Secteur Sud, Rue 20
MT-KOU-0021;Niamey;Koubia;Sud;21;ABN-KOU-0021;PL-KOU-0021;Niamey, Koubia, Secteur Sud, Rue 21
MT-KOU-0022;Niamey;Koubia;Sud;22;ABN-KOU-0022;PL-KOU-0022;Niamey, Koubia, Secteur Sud, Rue 22
MT-KOU-0023;Niamey;Koubia;Sud;23;ABN-KOU-0023;PL-KOU-0023;Niamey, Koubia, Secteur Sud, Rue 23
MT-KOU-0024;Niamey;Koubia;Sud;24;ABN-KOU-0024;PL-KOU-0024;Niamey, Koubia, Secteur Sud, Rue 24
MT-KOU-0025;Niamey;Koubia;Sud;25;ABN-KOU-0025;PL-KOU-0025;Niamey, Koubia, Secteur Sud, Rue 25
MT-KOU-0026;Niamey;Koubia;Sud;26;ABN-KOU-0026;PL-KOU-0026;Niamey, Koubia, Secteur Sud, Rue 26
MT-KOU-0027;Niamey;Koubia;Sud;27;ABN-KOU-0027;PL-KOU-0027;Niamey, Koubia, Secteur Sud, Rue 27
MT-KOU-0028;Niamey;Koubia;Sud;28;ABN-KOU-0028;PL-KOU-0028;Niamey, Koubia, Secteur Sud, Rue 28
MT-KOU-0029;Niamey;Koubia;Sud;29;ABN-KOU-0029;PL-KOU-0029;Niamey, Koubia, Secteur Sud, Rue 29
MT-KOU-0030;Niamey;Koubia;Sud;30;ABN-KOU-0030;PL-KOU-0030;Niamey, Koubia, Secteur Sud, Rue 30
MT-KOU-0031;Niamey;Koubia;Sud;31;ABN-KOU-0031;PL-KOU-0031;Niamey, Koubia, Secteur Sud, Rue 31
MT-KOU-0032;Niamey;Koubia;Sud;32;ABN-KOU-0032;PL-KOU-0032;Niamey, Koubia, Secteur Sud, Rue 32
MT-KOU-0033;Niamey;Koubia;Sud;33;ABN-KOU-0033;PL-KOU-0033;Niamey, Koubia, Secteur Sud, Rue 33
MT-KOU-0034;Niamey;Koubia;Sud;34;ABN-KOU-0034;PL-KOU-0034;Niamey, Koubia, Secteur Sud, Rue 34
MT-KOU-0035;Niamey;Koubia;Sud;35;ABN-KOU-0035;PL-KOU-0035;Niamey, Koubia, Secteur Sud, Rue 35
MT-KOU-0036;Niamey;Koubia;Sud;36;ABN-KOU-0036;PL-KOU-0036;Niamey, Koubia, Secteur Sud, Rue 36
