meterNumber;center;zone;sector;routeOrder;subscriberNumber;police;address
MT-NIA-0001;Niamey Centre;Zone-1;S1;1;ABN-NIA-0001;PL-NIA-0001;"Niamey, Quartier 01"
MT-NIA-0002;Niamey Centre;Zone-1;S1;2;ABN-NIA-0002;PL-NIA-0002;"Niamey, Quartier 02"
MT-NIA-0003;Niamey Centre;Zone-1;S1;3;ABN-NIA-0003;PL-NIA-0003;"Niamey, Quartier 03"
MT-NIA-0004;Niamey Centre;Zone-1;S1;4;ABN-NIA-0004;PL-NIA-0004;"Niamey, Quartier 04"
MT-NIA-0005;Niamey Centre;Zone-1;S1;5;ABN-NIA-0005;PL-NIA-0005;"Niamey, Quartier 05"
MT-NIA-0006;Niamey Centre;Zone-1;S1;6;ABN-NIA-0006;PL-NIA-0006;"Niamey, Quartier 06"
MT-NIA-0007;Niamey Centre;Zone-1;S1;7;ABN-NIA-0007;PL-NIA-0007;"Niamey, Quartier 07"
MT-NIA-0008;Niamey Centre;Zone-1;S1;8;ABN-NIA-0008;PL-NIA-0008;"Niamey, Quartier 08"
MT-NIA-0009;Niamey Centre;Zone-1;S1;9;ABN-NIA-0009;PL-NIA-0009;"Niamey, Quartier 09"
MT-NIA-0010;Niamey Centre;Zone-1;S1;10;ABN-NIA-0010;PL-NIA-0010;"Niamey, Quartier 10"
MT-DOS-0001;Dosso;Dosso-1;S1;1;ABN-DOS-0001;PL-DOS-0001;"Dosso, Quartier 01"
MT-DOS-0002;Dosso;Dosso-1;S1;2;ABN-DOS-0002;PL-DOS-0002;"Dosso, Quartier 02"
MT-DOS-0003;Dosso;Dosso-1;S1;3;ABN-DOS-0003;PL-DOS-0003;"Dosso, Quartier 03"
MT-DOS-0004;Dosso;Dosso-1;S1;4;ABN-DOS-0004;PL-DOS-0004;"Dosso, Quartier 04"
MT-DOS-0005;Dosso;Dosso-1;S1;5;ABN-DOS-0005;PL-DOS-0005;"Dosso, Quartier 05"
MT-MAR-0001;Maradi;Maradi-IND;S1;1;ABN-MAR-0001;PL-MAR-0001;"Maradi, Quartier 01"
MT-MAR-0002;Maradi;Maradi-IND;S1;2;ABN-MAR-0002;PL-MAR-0002;"Maradi, Quartier 02"
MT-MAR-0003;Maradi;Maradi-IND;S1;3;ABN-MAR-0003;PL-MAR-0003;"Maradi, Quartier 03"
MT-MAR-0004;Maradi;Maradi-IND;S1;4;ABN-MAR-0004;PL-MAR-0004;"Maradi, Quartier 04"
MT-MAR-0005;Maradi;Maradi-IND;S1;5;ABN-MAR-0005;PL-MAR-0005;"Maradi, Quartier 05"
